JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Eu/Fe   
--------- -------- -------------------------- ------------------------------------ ------- --------
6         COH09    Draco3053                  [BFO2002]_Dra_50027                  -1.78   0.43    
7         SHE01    Draco11                    [BS61]_11                            -1.7    0.52    
8         FUL04    Draco119                   [BS61]_119                           -2.93   <0.41   
12        COH09    DracoXI-2                  [BSS2004]_Draco_J171917.5+580107.5   -2.04   <0.28   
15        SHE03    Fnx12                      [KGS2010]_For_1                      -1.58   0.23    
23        SHE01    UMi168                     [V67]_168                            -2.16   <-0.03  
24        SHE01    UMi177                     [V67]_177                            -1.99   0.23    
25        SHE01    UMi297                     [V67]_297                            -1.66   0.71    
27        FUL00    HIP171                     *_85_Peg                             -0.98   0.31    
29        FUL00    HIP14086                   *_eps_For                            -0.69   0.36    
31        FUL00    HIP5336                    *_mu._Cas                            -0.96   0.48    
35        LAI08    CS22957-022                2MASS_J00014549-0549465              -2.92   <-0.1   
37        ROE10    CS22876-040                2MASS_J00045244-3413372              -2.34   <1.12   
38        ROE14b   CS22876-040                2MASS_J00045244-3413372              -2.47   <1.1    
44        ALL12    CS31070-073                2MASS_J00085182+0526171              -2.55   2.74    
45        COH04    HE0007-1832                2MASS_J00095277-1816124              -2.7    <1.83   
46        COH13    HE0007-1832                2MASS_J00095277-1816124              -2.79   <1.7    
48        HAN15    HE0010-3422                2MASS_J00130901-3405548              -2.78   1.72    
54        ROE14b   CS30339-015                2MASS_J00165810-3348175              -3.0    <1.07   
57        PRE06    CS22882-001                2MASS_J00202529-3139040              -2.49   0.89    
58        ROE14b   CS22882-001                2MASS_J00202529-3139040              -2.62   0.81    
59        ROE14e   CS22882-001                2MASS_J00202529-3139040              -2.62   0.8     
66        ROE14b   CS22882-006                2MASS_J00215986-2929265              -2.94   <1.11   
67        ROE14b   CS30339-052                2MASS_J00225014-3407207              -2.69   0.57    
70        ROE14b   CS30339-046                2MASS_J00252167-3630244              -2.71   <1.52   
74        LUC03    HE0024-2523                2MASS_J00272766-2506281              -2.72   <1.09   
75        BAR05    CS29497-004                2MASS_J00280692-2603042              -2.81   1.61    
76        CHR04    CS29497-004                2MASS_J00280692-2603042              -2.68   1.71    
83        ROE14b   CS22882-012                2MASS_J00302250-2735272              -2.76   <1.24   
