JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Mg/Fe  
--------- -------- -------------------------- ------------------------------------ ------- -------
6         COH09    Draco3053                  [BFO2002]_Dra_50027                  -1.78   -0.01  
7         SHE01    Draco11                    [BS61]_11                            -1.7    0.03   
9         SHE01    Draco119                   [BS61]_119                           -2.95   0.16   
10        SHE01    Draco24                    [BS61]_24                            -2.34   0.22   
11        SHE01    Draco267                   [BS61]_267                           -1.65   -0.08  
12        COH09    DracoXI-2                  [BSS2004]_Draco_J171917.5+580107.5   -2.04   -0.38  
15        SHE03    Fnx12                      [KGS2010]_For_1                      -1.58   0.05   
22        PRE00    CS29518-039                [PS72]_298                           -2.47   0.19   
23        SHE01    UMi168                     [V67]_168                            -2.16   0.19   
24        SHE01    UMi177                     [V67]_177                            -1.99   0.28   
25        SHE01    UMi297                     [V67]_297                            -1.66   0.2    
26        FUL00    HIP107975                  *_15_Peg                             -0.61   0.23   
27        FUL00    HIP171                     *_85_Peg                             -0.98   0.51   
28        FUL00    HIP27654                   *_del_Lep                            -0.92   0.42   
29        FUL00    HIP14086                   *_eps_For                            -0.69   0.39   
30        JON05    HD203608                   *_gam_Pav                            -0.74   0.15   
31        FUL00    HIP5336                    *_mu._Cas                            -0.96   0.43   
32        JON05    LHS520                     *_nu._Ind                            -1.49   0.42   
33        PRE00    CS22876-021                2MASS_J00010378-3348157              -1.08   0.59   
36        ROE14b   CS22957-022                2MASS_J00014549-0549465              -3.28   0.46   
38        ROE14b   CS22876-040                2MASS_J00045244-3413372              -2.47   0.32   
39        AOK07a   CS29503-010                2MASS_J00045537-2424193              -1.11   0.34   
41        BAR05    HE0005-0002                2MASS_J00080677+0014089              -3.06   0.39   
43        BAR05    CS31060-047                2MASS_J00080780-1554038              -2.72   0.23   
46        COH13    HE0007-1832                2MASS_J00095277-1816124              -2.79   0.55   
47        BAR05    HE0008-3842                2MASS_J00105603-3826100              -3.33   0.31   
50        COH06    HE0012-1441                2MASS_J00152706-1424376              -2.57   0.9    
51        COH13    HE0012-1441                2MASS_J00152706-1424376              -2.52   0.83   
54        ROE14b   CS30339-015                2MASS_J00165810-3348175              -3.0    0.44   
56        BAR05    HE0017-4838                2MASS_J00194832-4821236              -3.23   0.23   
57        PRE06    CS22882-001                2MASS_J00202529-3139040              -2.49   0.25   
58        ROE14b   CS22882-001                2MASS_J00202529-3139040              -2.62   0.39   
65        BAR05    HE0018-1349                2MASS_J00205238-1332296              -2.27   0.29   
66        ROE14b   CS22882-006                2MASS_J00215986-2929265              -2.94   0.46   
67        ROE14b   CS30339-052                2MASS_J00225014-3407207              -2.69   0.58   
68        BAR05    CS30339-0041               2MASS_J00231293-3701267              -2.21   0.28   
70        ROE14b   CS30339-046                2MASS_J00252167-3630244              -2.71   0.34   
71        BAR05    HE0023-4825                2MASS_J00255030-4808270              -2.06   0.2    
75        BAR05    CS29497-004                2MASS_J00280692-2603042              -2.81   0.29   
80        ROE14b   CS30339-069                2MASS_J00301595-3556512              -3.5    0.46   
82        ROE14b   CS22882-030                2MASS_J00302004-3020584              -3.47   0.51   
83        ROE14b   CS22882-012                2MASS_J00302250-2735272              -2.76   0.37   
87        BAR05    HE0029-1839                2MASS_J00320775-1822368              -2.5    -0.02  
89        AOK07a   CS31062-041                2MASS_J00350301-1554292              -2.42   0.52   
90        BAR05    CS31062-041                2MASS_J00350301-1554292              -2.68   0.31   
92        BAR05    HE0037-2657                2MASS_J00395177-2641320              -3.22   0.25   
95        BAR05    HE0043-2845                2MASS_J00455594-2829172              -2.91   0.28   
97        BAR05    HE0044-4023                2MASS_J00462937-4007226              -2.56   0.22   
98        BAR05    HE0044-2459                2MASS_J00463587-2443022              -3.28   0.33   
99        ROE14b   CS22942-002                2MASS_J00463587-2443022              -3.61   0.56   
100       BAR05    HE0045-2430                2MASS_J00474055-2414019              -1.77   -0.06  
101       BAR05    HE0049-5700                2MASS_J00520684-5644374              -2.4    0.35   
103       BAR05    HE0051-2304                2MASS_J00535152-2247539              -2.44   0.29   
105       ROE14b   CS22942-011                2MASS_J00541299-2504338              -2.88   0.44   
106       BAR05    HE0054-0657                2MASS_J00572078-0640593              -2.0    0.21   
109       ROE14b   CS22166-016                2MASS_J00582384-1447068              -3.22   0.69   
111       GEI05    Star195                    2MASS_J00595568-3346400              -2.1    0.67   
112       SHE03    Scl482                     2MASS_J00595827-3341087              -1.22   0.05   
113       BAR05    HE0057-4541                2MASS_J00595927-4524534              -2.31   0.24   
115       SHE03    Scl459                     2MASS_J01001255-3343011              -1.64   0.32   
116       SHE03    Scl479                     2MASS_J01001278-3341157              -1.75   0.22   
117       GEI05    Star982                    2MASS_J01001630-3342371              -0.97   -0.24  
118       SHE03    Scl400                     2MASS_J01001708-3345139              -1.96   0.33   
119       SHE03    Scl461                     2MASS_J01001830-3342122              -1.54   0.14   
120       GEI05    Star770                    2MASS_J01002384-3342173              -1.72   0.14   
123       COH06    HE0058-0244                2MASS_J01005303-0228200              -2.8    0.53   
124       COH13    CS22183-015                2MASS_J01005303-0228200              -2.76   0.5    
131       ROE14b   CS22953-003                2MASS_J01021585-6143458              -3.13   0.39   
136       ROE14b   CS22942-035                2MASS_J01035747-2352452              -3.08   0.47   
139       BAR05    HE0104-5300                2MASS_J01065190-5244105              -3.31   0.23   
140       BAR05    HE0104-4007                2MASS_J01065601-3951512              -3.3    0.19   
141       BAR05    HE0105-6141                2MASS_J01073782-6125176              -2.55   0.31   
147       ROE14b   CS22183-031                2MASS_J01090507-0443211              -3.57   0.77   
149       ROE14b   CS29514-017                2MASS_J01094480-2616549              -2.35   0.35   
150       PRE00    CS22166-041                2MASS_J01105636-1342434              -1.3    0.11   
152       PRE00    CS22174-008                2MASS_J01114546-1040038              -1.46   0.51   
153       BAR05    HE0109-0742                2MASS_J01114706-0726321              -2.52   0.28   
158       BAR05    HE0111-1454                2MASS_J01134908-1438231              -2.99   0.33   
159       PRE00    CS29518-024                2MASS_J01171211-3226577              -0.92   -0.03  
163       ROE14b   CS29514-037                2MASS_J01214169-2703312              -2.62   0.24   
164       BAR05    HE0121-2826                2MASS_J01233713-2810280              -2.97   0.41   
174       ROE14b   CS29504-006                2MASS_J01320497-3622429              -3.12   0.37   
175       BAR05    HE0131-2740                2MASS_J01332576-2725279              -3.08   0.35   
176       BAR05    HE0131-3953                2MASS_J01333645-3937519              -2.68   0.29   
179       BAR05    HE0143-4146                2MASS_J01451803-4131464              -2.95   0.39   
180       BAR05    HE0143-4108                2MASS_J01451993-4053363              -2.62   0.0    
182       COH06    HE0143-0441                2MASS_J01453792-0426434              -2.36   0.62   
183       COH13    HE0143-0441                2MASS_J01453792-0426434              -2.31   0.61   
184       BAR05    HE0143-1135                2MASS_J01461033-1120107              -2.13   0.31   
187       BAR05    HE0157-3335                2MASS_J02000022-3321220              -3.08   0.38   
189       ROE14b   CS22958-042                2MASS_J02010743-5716588              -3.4    0.75   
191       BAR05    HE0200-0955                2MASS_J02031620-0940488              -2.47   0.32   
192       JAC15    2MASS_J02031860-7930291    2MASS_J02031860-7930291              -3.03   0.52   
193       BAR05    HE0202-2204                2MASS_J02045001-2150102              -1.98   -0.03  
194       AOK07a   HE0206-1916                2MASS_J02091962-1901554              -2.14   0.5    
196       COH06    HE0212-0557                2MASS_J02150250-0543235              -2.32   0.04   
197       COH13    HE0212-0557                2MASS_J02150250-0543235              -2.27   0.02   
198       BAR05    CS22958-083                2MASS_J02154272-5359561              -2.79   0.38   
199       PRE06    CS22958-083                2MASS_J02154272-5359561              -2.97   0.47   
200       ROE14b   CS22958-083                2MASS_J02154272-5359561              -3.05   0.59   
201       BAR05    CS22175-007                2MASS_J02172662-0900451              -2.81   0.36   
203       PRE00    CS22175-034                2MASS_J02202151-1038089              -0.26   0.3    
204       BAR05    CS29510-058                2MASS_J02214656-2401586              -2.61   0.24   
208       AOK07a   CS29528-028                2MASS_J02282654-2133009              -2.91   1.67   
210       BAR05    HE0231-4016                2MASS_J02334439-4003428              -2.08   0.2    
216       SHE03    Fnx25                      2MASS_J02394711-3431499              -1.19   -0.02  
217       SHE03    Fnx21                      2MASS_J02400441-3427115              -0.65   0.16   
222       ROE14b   CS22189-009                2MASS_J02414237-1328105              -3.92   0.44   
225       BAR05    HE0240-6105                2MASS_J02420609-6053031              -3.23   0.28   
